signals-interval	convergence-count
1	4919.0
2	5067.0
3	4973.5
4	4993.0
5	5191.5
6	5024.0
7	5169.0
8	4913.5
9	4984.5
10	5076.5
11	4965.5
12	4946.0
13	4946.5
14	5158.0
15	5189.5
16	5201.5
17	5299.5
18	5186.5
19	5105.5
20	5267.0
21	5137.5
22	5139.5
23	5092.5
24	5205.5
25	5070.5
26	5136.0
27	5154.5
28	5226.0
29	5172.0
30	5354.0
31	5164.0
32	4933.5
33	5125.5
34	5123.0
35	5133.5
36	5196.0
37	5398.5
38	5405.0
39	5205.0
40	5355.5
41	5322.5
42	5393.0
43	5303.0
44	5248.0
45	5112.5
46	5126.5
47	5248.0
48	5038.5
49	5383.5
50	5371.0
51	5311.5
52	5272.5
53	5112.5
54	5476.5
55	5189.0
56	5189.0
57	5539.5
58	5238.5
59	5341.5
60	5268.5
61	5160.5
62	5373.0
63	5425.0
64	5420.5
65	5170.0
66	5234.5
67	5628.0
68	5423.0
69	5313.0
70	5292.5
71	5215.0
72	5272.5
73	5239.5
74	5357.0
75	5304.5
76	5611.0
77	5426.5
78	5526.5
79	5437.0
80	5291.5
81	5141.0
82	5209.5
83	5341.5
84	5381.0
85	5528.5
86	5287.0
87	5614.0
88	5549.0
89	5616.0
90	5566.0
91	5409.0
92	5309.5
93	5440.0
94	5499.0
95	5598.5
96	5590.5
97	5594.0
98	5670.0
99	5285.0
100	5557.0
