iterations	thousand
9	0
19	0
29	0
39	0
49	0
59	0
69	0
79	0
89	0
99	0
109	0
119	0
129	0
139	0
149	0
159	0
169	0
179	0
189	0
199	0
209	0
219	0
229	0
239	0
249	0
259	0
269	0
279	0
289	0
299	0
309	0
319	0
329	0
339	0
349	0
359	0
369	0
379	0
389	0
399	0
409	0
419	0
429	0
439	0
449	0
459	0
469	0
479	0
489	0
499	0
509	0
519	0
529	0
539	0
549	0
559	0
569	0
579	0
589	0
599	0
609	0
619	0
629	0
639	0
649	0
659	0
669	0
679	0
689	0
699	0
709	0
719	0
729	0
739	0
749	0
759	0
769	0
779	0
789	0
799	0
809	0
819	0
829	0
839	0
849	0
859	0
869	0
879	0
889	0
899	0
909	0
919	0
929	0
939	0
949	0
959	0
969	0
979	0
989	0
999	0
1009	0.101
1019	0.1008
1029	0.1005
1039	0.1002
1049	0.1008
1059	0.1006
1069	0.1012
1079	0.1016
1089	0.1018
1099	0.1022
1109	0.1028
1119	0.1033
1129	0.1036
1139	0.1035
1149	0.1032
1159	0.1033
1169	0.1034
1179	0.1037
1189	0.1035
1199	0.1033
1209	0.1036
1219	0.1039
1229	0.1037
1239	0.1035
1249	0.103
1259	0.1034
1269	0.103
1279	0.104
1289	0.1036
1299	0.1037
1309	0.103
1319	0.1031
1329	0.1026
1339	0.1021
1349	0.1024
1359	0.1025
1369	0.1025
1379	0.1033
1389	0.1038
1399	0.1044
1409	0.1044
1419	0.1052
1429	0.105
1439	0.1055
1449	0.1059
1459	0.106
1469	0.1062
1479	0.1046
1489	0.1042
1499	0.1042
1509	0.1044
1519	0.1044
1529	0.1044
1539	0.1044
1549	0.1046
1559	0.1046
1569	0.1047
1579	0.1041
1589	0.1035
1599	0.1029
1609	0.1029
1619	0.103
1629	0.1029
1639	0.1026
1649	0.1023
1659	0.1027
1669	0.1025
1679	0.1027
1689	0.1029
1699	0.1023
1709	0.102
1719	0.1029
1729	0.1029
1739	0.1031
1749	0.1039
1759	0.1039
1769	0.1038
1779	0.1032
1789	0.1036
1799	0.1034
1809	0.1042
1819	0.104
1829	0.1038
1839	0.1039
1849	0.104
1859	0.1042
1869	0.1046
1879	0.1045
1889	0.1041
1899	0.104
1909	0.1025
1919	0.1027
1929	0.1027
1939	0.1025
1949	0.1024
1959	0.1027
1969	0.1028
1979	0.1032
1989	0.1033
1999	0.1031
2009	0.1026
2019	0.1026
2029	0.103
2039	0.103
