iterations	hundred
9	0
19	0
29	0
39	0
49	0
59	0
69	0
79	0
89	0
99	0
109	0.088
119	0.088
129	0.088
139	0.08
149	0.083
159	0.08
169	0.085
179	0.082
189	0.082
199	0.088
209	0.09
219	0.087
229	0.09
239	0.094
249	0.101
259	0.105
269	0.104
279	0.105
289	0.105
299	0.101
309	0.106
319	0.111
329	0.111
339	0.115
349	0.105
359	0.1
369	0.095
379	0.095
389	0.098
399	0.094
409	0.09
419	0.086
429	0.088
439	0.08
449	0.083
459	0.086
469	0.091
479	0.104
489	0.103
499	0.108
509	0.105
519	0.106
529	0.102
539	0.107
549	0.109
559	0.108
569	0.111
579	0.105
589	0.109
599	0.113
609	0.119
619	0.121
629	0.122
639	0.12
649	0.118
659	0.115
669	0.113
679	0.112
689	0.104
699	0.105
709	0.103
719	0.099
729	0.097
739	0.099
749	0.097
759	0.1
769	0.101
779	0.097
789	0.099
799	0.096
809	0.091
819	0.093
829	0.098
839	0.096
849	0.096
859	0.098
869	0.095
879	0.099
889	0.101
899	0.098
909	0.112
919	0.113
929	0.11
939	0.112
949	0.11
959	0.108
969	0.111
979	0.109
989	0.108
999	0.111
1009	0.106
1019	0.104
1029	0.099
1039	0.099
1049	0.106
1059	0.106
1069	0.106
1079	0.108
1089	0.109
1099	0.108
1109	0.106
1119	0.113
1129	0.119
1139	0.113
1149	0.107
1159	0.107
1169	0.107
1179	0.103
1189	0.099
1199	0.099
1209	0.098
1219	0.093
1229	0.091
1239	0.094
1249	0.099
1259	0.106
1269	0.1
1279	0.108
1289	0.106
1299	0.105
1309	0.1
1319	0.103
1329	0.1
1339	0.101
1349	0.099
1359	0.091
1369	0.09
1379	0.088
1389	0.1
1399	0.101
1409	0.104
1419	0.107
1429	0.112
1439	0.114
1449	0.118
1459	0.121
1469	0.128
1479	0.117
1489	0.107
1499	0.106
1509	0.105
1519	0.098
1529	0.096
1539	0.096
1549	0.096
1559	0.094
1569	0.096
1579	0.1
1589	0.102
1599	0.1
1609	0.104
1619	0.107
1629	0.107
1639	0.102
1649	0.095
1659	0.096
1669	0.091
1679	0.098
1689	0.098
1699	0.099
1709	0.094
1719	0.098
1729	0.097
1739	0.104
1749	0.113
1759	0.112
1769	0.114
1779	0.102
1789	0.106
1799	0.107
1809	0.113
1819	0.104
1829	0.107
1839	0.104
1849	0.097
1859	0.101
1869	0.103
1879	0.112
1889	0.106
1899	0.104
1909	0.095
