population_size	mean
1	2761.7
2	6004.1
3	5140.333333
4	3815.444444
5	3350.3
6	3857.1
7	4493.4
8	7853.2
9	5409.6
10	5224.8
11	6383.5
12	5920.888889
13	8406.2
14	4237.7
15	4216.7
16	5178.2
17	6110.4
18	5307.7
19	3819.7
20	6279
21	4398.1
22	5074.4
23	4957
24	4106.2
25	4447
26	4699.6
27	5389.4
28	4797.1
29	5290.8
30	4677.9
31	4928.1
32	4939.5
33	4723.6
34	5555.9
35	4211.4
36	5798.6
37	5514.3
38	4876.4
39	4554.4
40	5359.2
41	5138.4
42	14450.2
43	5484.6
44	4790.9
45	4545.7
46	6773.7
47	6012.6
48	4907.666667
49	4452.5
50	8004.1
51	4212.2
52	4925.3
53	4505.6
54	5610.9
55	6577
56	4555.8
57	5274.1
58	7414
59	5080
60	5467.4
61	5376.8
62	4866.1
63	4830.3
64	4727.1
65	4741.4
66	4620.5
67	4937.6
68	6999.8
69	5257.5
70	5075.7
71	5580.5
72	8610
73	5171.4
74	5057
75	5255
76	4585.5
77	6281.6
78	5043.8
79	4937.4
80	4923.8
81	4945.8
82	4984.1
83	5280
84	5080.6
85	5491.5
86	5626.6
87	6454.7
88	5610.6
89	5026.6
90	6643.8
91	6279.1
92	4970.8
93	4936.4
94	6098.1
95	5260.4
96	6847.7
97	5131.3
98	5200.7
99	6736.4
100	5764.2
