population_size	median
1	2379
2	2872
3	4750
4	3064
5	3234
6	3010
7	3584
8	3816
9	3828.5
10	4585
11	4173
12	4016
13	4494.5
14	3497
15	3920
16	3895
17	4372
18	4776.5
19	3823.5
20	4298
21	3803.5
22	3991
23	3974
24	3754
25	4307.5
26	3820.5
27	3995
28	3898.5
29	4158
30	4372.5
31	4122.5
32	4757.5
33	4196
34	4527
35	3928.5
36	4336
37	4799.5
38	4164
39	4395.5
40	4602.5
41	4114.5
42	4800.5
43	4715.5
44	4312.5
45	4105
46	4948.5
47	4291.5
48	4505
49	4321
50	4613.5
51	4080
52	4590
53	4341
54	4673
55	5136.5
56	4206
57	4705.5
58	4713.5
59	4588
60	4349
61	4714
62	4504.5
63	4291
64	4556.5
65	4542.5
66	4472.5
67	4334
68	6040
69	4565.5
70	4794
71	4517.5
72	5512.5
73	4491
74	4905
75	4971
76	4551
77	5207
78	4548
79	4876
80	4635
81	4556.5
82	4493.5
83	4863.5
84	5077.5
85	4888.5
86	5147
87	4911.5
88	5060
89	4930.5
90	5534
91	4636.5
92	4736.5
93	4704.5
94	5353.5
95	4788
96	5050.5
97	4647
98	5140
99	5319.5
100	5184
